ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text
835836253580877824,MariaBlois,18,0,MariaBlois,2,101,0,@FoxNews @FoxNewsInsider @MaxineWaters @POTUS TIMES WHEN WATERS=SO MENTALLY/EMOTIONALLY OBSESSED WITH TRUMP=TRUE FE… https://t.co/nCMYQFbev8
1902293946,franmcc14,574,134,,0,908,5,"RT @BreitbartNews: A Strange defeat “could prompt some GOP senators to retire to avoid facing the wrath of anti-establishment voters” 
 htt…"
560817896,TinaJac22661258,9820,486,,0,9669,206,RT @justinhendrix: McClatchy: Trump bodyguard Gary Uher was FBI agent involved in  complex deal to bring Sater back from Russia in 90s: htt…
829219480932929536,marccruzzzer,30,0,marccruzzzer,0,63,2,@mikecokere @ChihotaElijah @Tspittah @mikegiannoni Naturally some of his convo w/ tRump got recorded once he joined… https://t.co/uP89dECFxE
18061792,Latina,157958,1,,3,1662,1666,"Justice has been served. 👏🏼
https://t.co/khiGnuLhUK"
590651831,TonyCapone4,298,32,,0,699,43,RT @davidicke: Donald Trump calls Iran a 'murderous regime' in surprisingly hostile UN speech https://t.co/uYTIG60hw2 https://t.co/kXDpPDW5…
15723290,TIMEPolitics,51309,0,,0,767,1582,President Trump says he expected a health care bill on his desk as soon as he got into office https://t.co/Fkho4YEwcP via @aricwithan_a
897596755424030722,rashemckay,323,44,,0,754,0,"RT @TheGangPodcast: Namibia, Zambia &amp; The Gambia's reaction when Trump refers to #Nambia. https://t.co/omwRlrMOJz"
3111993791,dwthompson1945,5536,1040,,0,4351,94,RT @10_gop: A Maine woman says that she would rather go to jail than take down her signs in support of President Trump. https://t.co/cirSCA…
1276667894,etbreck,224,5078,,0,866,14,"RT @crampell: Remember how Trump bragged about getting Manafort's services for free? If you aren't paying, you're not the customer -- you'r…"
202282048,sharm629,583,581,,0,1155,42,RT @nowthisnews: Trump staffers are living large on taxpayer money — and this ethics lawyer says it's straight-up offensive https://t.co/Hs…
899351140097298432,HumanBeing_8_,14,0,,0,279,0,"Trump praises nonexistent African country - Never ceases 2 amaze; JUST when U think Trump can't possibly B ""dumber""! https://t.co/GahLYLKkOG"
265508799,BellaMagnani,3412,319,,0,575,128,"RT @dcexaminer: James Clapper: ""It's possible"" that Trump's voice was picked up by Manafort wiretap https://t.co/ZnCQIsYdYX https://t.co/Ei…"
828230269492674560,David86279674,536,1,,0,1421,3,"RT @Blacklace40: If it wasn't for Gen. Kelly and Gen. Mattis, Trump would have already started a war with DPRK. Nobody else in WH to stop h…"
399503346,1MikeGulley,89,195,,0,70,1,RT @AnneRiceAuthor: Spicer's appearance at the Emmys likely infuriated Trump; it was a bold move by Spicer to expose Trump as a total liar.…
323604976,vanessahoeden,414,69502,,0,283,0,RT @lustforgays: melania when trump dies https://t.co/KudjG5AJiK
2790337648,janu282,494,575,,0,1079,2,"RT @DC_Resister_Bee: @TalbertSwan @TaIbertSwan @realDonaldTrump Lying Coward Trump

Blocked woman with Stage IV cancer - for commenting on…"
781164767708712962,KennedyHDnation,2207,4,,0,1989,8,RT @BusterUSMC: Roger Stone: Mueller Has Told Manafort To Lie About Trump Or He Will Be Railroaded To Prison https://t.co/tHXZHTCV4S
2200851425,larryqqueen,1618,109,,0,894,147,"RT @MCCNP: Obama admin wire tapped Trump Campaign now proven. Yet, still no special counsel. Time to FIRE SESSIONS
#FireSessions https://t.…"
432087297,HollandCooke,1561,0,,0,291,155,"WHAT IF - instead of nuke threats - #Trump used #UN opportunity to tell #KimJungUn ""Meet me in Geneva?""… https://t.co/mk1coRA7vj"
40318151,knights35,41,1022,,0,298,4,RT @chuckwoolery: A strong speech at the UN by #Trump doesn't sit well with the left and our enemies. They are one of the same. Good for hi…
778711561800065025,TrumpFirehose,75,0,,0,1,36,Trump vows more sanctions over N. Korea&amp;rsquo;s nuke buildup https://t.co/4AZJ30nXur
725865427746709504,JudithB24227796,448,0,DRUDGE_REPORT,0,283,14,@DRUDGE_REPORT Blaming President Trump for being a hasbeen!
